KRS1222;Kreisname;fl_suv;fl_landw;fl_wald;bev_binw;bev_ausw;ko_kasskred;bev_u18;bev_18_65;bev_ue65;bev_ausl;mitgl_sportv;ew_sportv;preis_miet;wohn_eigen;wohn_leer;wohn_EZFH;wohn_MFH;heiz_wohn_best;heiz_wohn;bquali_unifh;bquali_mabschl;bquali_oabschl;erw_wachs;erw_mini;erw_minineben;alq;schulden;sozsich;auto;v_harzt;v_karzt;schule_oabschl;kbetr_u3;kbetr_ue3;kbetr_ue6;kinder_bg;straft;einbr
1001000;Flensburg, Stadt;53,5;22,12;6,73;49,81;167,15;0;16,02;64,02;19,95;18,46;21,75;63,75;8,50 bis unter 10,00;24,5;2,95;4,1;21,6;0,62;4,17;17;60,86;14,53;0,96;10,06;5,72;7,88;13,34;14,42;495,3;65,1;66,4;8,09;38,41;86,78;26,74;21,55;10767,15;117,77
1002000;Kiel, Landeshauptstadt;58,78;23,45;6,94;-12,8;115,33;181,66;15,03;65,99;18,98;13,57;24,99;64,99;8,50 bis unter 10,00;24,3;2,13;1,4;18,6;1,38;11,34;23,59;56,54;12,55;1,07;9,51;5,34;7,56;9,11;14,71;449,8;67,2;78,4;9,34;36,44;91,37;22,46;24,44;10684,77;117,07
1003000;Lübeck, Hansestadt;37,86;30,23;15,44;30,67;116,23;268,9;15,22;61,36;23,42;12,52;17,76;62,36;10,00 bis unter 11,50;29,0;2,88;6,1;32,1;1,83;7,92;16,03;61,77;13,79;0,78;8,56;6,24;7,88;11,14;13,53;467;67,5;83,8;11,34;39,6;93,48;14,27;20,98;10322,11;131,14
1004000;Neumünster, Stadt;51,81;37,72;4,65;-286,79;359,36;0;16,45;60,5;23,05;14,15;18,15;52,83;7,00 bis unter 8,50;37,0;3,71;5,9;22,8;1,58;4,82;10,53;65,14;15,23;1,67;8,77;5,77;8,34;16,02;17,91;543,5;58,2;65,1;9,51;31,59;83;20,39;20,73;18117,78;225,15
1051000;Dithmarschen;11,28;75,22;3,83;66,47;105,51;0;15,74;58,73;25,53;7,76;30,38;111,64;7,00 bis unter 8,50;57,9;3,49;27,2;17,4;5,85;50,41;8,92;69,02;12,63;1,02;12,13;7,72;5,83;9,77;8,62;621,3;63;45,7;12,14;25,69;87,67;12,46;14,75;5401,03;116,08
1053000;Herzogtum Lauenburg;12,01;56,44;26,23;74,81;120,02;7,95;17,72;59,53;22,74;10,27;23,92;83,45;8,50 bis unter 10,00;50,9;2,65;24,5;17,8;5,54;36,31;11,84;65,43;12,81;1,02;10,93;8,33;5,19;7,68;8,13;598,4;62,7;44,9;10,52;35,45;86,57;14,96;12,06;4894,16;122,23
1054000;Nordfriesland;11,04;75,72;4,24;35,67;118,9;38,45;15,6;59,51;24,88;9,05;32,89;115,95;7,00 bis unter 8,50;52,9;3,65;36,7;28,1;8,13;61,86;9,42;67,71;12,01;0,79;10,32;8,86;4,79;8,25;6,6;633,8;66,5;46,1;9,21;33,07;92,68;19,99;10,14;5566,63;85,78
1055000;Ostholstein;12,41;71,24;10,17;56,83;121,26;18,42;14,46;57,4;28,13;7,65;28,68;98,23;10,00 bis unter 11,50;50,9;3,45;12,6;20,5;5,09;37,74;9,9;67,61;12,17;1,06;11,32;7,95;4,87;7,86;6,65;645;67,5;45,4;10,48;36,25;92,18;15,62;10,24;5890,79;94,79
1056000;Pinneberg;22,03;60,83;8,84;43,27;119,33;139,51;17,44;60,25;22,31;13,09;25,32;61,78;10,00 bis unter 11,50;48,9;2,34;14,6;24,2;4,02;21,58;13,8;61,94;13,45;0,55;10,43;8,47;5,22;7,41;8,12;559,5;61,3;47;7,62;32,85;82,09;17,38;13,3;6235,68;108,03
1057000;Plön;9,99;67,56;11,4;106,43;86,01;41,9;16,17;56,94;26,88;6,01;31,61;108,94;8,50 bis unter 10,00;57,4;2,88;17,8;16,8;6,72;49,78;11,87;66,09;13,84;0,87;14,41;9,18;4,24;6,72;7,02;630,4;69,1;51,4;8,31;37,3;86,92;15,32;10,56;3991,13;105,89
